N,EstimatedArea,RelativeError
100,1.06943,0.132256
600,1.11805,0.183722
1100,1.01641,0.0761108
1600,0.941832,0.002843
2100,0.856474,0.0932151
2600,0.867514,0.0815269
3100,0.95026,0.00608057
3600,1.03973,0.100804
4100,0.969842,0.0268128
4600,1.0018,0.0606506
5100,0.976026,0.0333599
5600,0.940964,0.00376204
6100,0.992933,0.0512598
6600,0.933914,0.0112258
7100,0.929765,0.0156189
7600,1.00164,0.0604739
8100,0.936206,0.00879974
8600,0.930386,0.0149615
9100,0.914522,0.0317574
9600,0.91145,0.0350094
10100,0.96355,0.0201512
10600,0.952953,0.0089311
11100,0.95382,0.00984967
11600,0.952099,0.00802701
12100,0.962572,0.0191152
12600,0.944436,8.58869e-05
13100,0.931395,0.0138925
13600,0.900727,0.0463622
14100,0.941875,0.00279738
14600,0.964223,0.0208632
15100,0.944528,1.14946e-05
15600,0.954764,0.0108483
16100,0.954702,0.0107827
16600,0.971042,0.0280832
17100,0.910811,0.0356865
17600,0.934098,0.0110308
18100,0.981345,0.038991
18600,0.901127,0.045939
19100,0.95847,0.0147727
19600,0.957829,0.0140936
20100,0.9311,0.0142052
20600,0.941537,0.0031553
21100,0.970371,0.027372
21600,0.941157,0.00355781
22100,0.976173,0.0335152
22600,0.958878,0.0152043
23100,0.919184,0.0268216
23600,0.960679,0.017111
24100,0.944378,0.000146902
24600,0.926765,0.0187954
25100,0.960206,0.0166106
25600,0.965757,0.022488
26100,0.944649,0.000139471
26600,0.955035,0.0111361
27100,0.975084,0.0323619
27600,0.95284,0.00881147
28100,0.957336,0.0135721
28600,0.969494,0.0264441
29100,0.924104,0.0216122
29600,0.965316,0.0220207
30100,0.917951,0.0281273
30600,0.946161,0.00174018
31100,0.947517,0.00317655
31600,0.963907,0.0205285
32100,0.934355,0.0107593
32600,0.942391,0.00225098
33100,0.926393,0.0191886
33600,0.945015,0.000526806
34100,0.938856,0.00599361
34600,0.967718,0.0245635
35100,0.954487,0.0105551
35600,0.947089,0.00272286
36100,0.936395,0.00859909
36600,0.927587,0.0179243
37100,0.956753,0.0129541
37600,0.955148,0.0112554
38100,0.940827,0.00390677
38600,0.94073,0.00400966
39100,0.953565,0.0095793
39600,0.956501,0.0126878
40100,0.962031,0.0185424
40600,0.954733,0.0108158
41100,0.949978,0.00578165
41600,0.944403,0.000121235
42100,0.933186,0.0119963
42600,0.933188,0.0119946
43100,0.924167,0.0215458
43600,0.927394,0.0181294
44100,0.913352,0.0329962
44600,0.928399,0.0170654
45100,0.933627,0.0115301
45600,0.948761,0.00449318
46100,0.934253,0.0108671
46600,0.945926,0.00149186
47100,0.934027,0.0111065
47600,0.926258,0.0193316
48100,0.930576,0.0147599
48600,0.95401,0.01005
49100,0.936968,0.00799224
49600,0.929679,0.0157095
50100,0.960958,0.017407
50600,0.933018,0.0121751
51100,0.935684,0.00935181
51600,0.959025,0.0153597
52100,0.92239,0.023427
52600,0.946152,0.00173122
53100,0.950792,0.00664335
53600,0.940472,0.00428329
54100,0.924232,0.0214769
54600,0.958147,0.0144302
55100,0.942394,0.00224755
55600,0.93392,0.0112201
56100,0.944139,0.000400424
56600,0.934253,0.0108675
57100,0.947525,0.00318467
57600,0.931198,0.0141012
58100,0.945105,0.000622769
58600,0.936378,0.00861758
59100,0.951322,0.00720422
59600,0.923766,0.0219701
60100,0.923846,0.0218859
60600,0.942534,0.00209989
61100,0.949778,0.00556974
61600,0.970635,0.0276524
62100,0.94466,0.000150902
62600,0.950315,0.00613891
63100,0.921985,0.0238556
63600,0.948978,0.00472317
64100,0.931717,0.0135517
64600,0.946328,0.00191722
65100,0.947423,0.0030764
65600,0.947908,0.00359027
66100,0.941326,0.0033783
66600,0.936741,0.00823304
67100,0.942221,0.00243074
67600,0.941149,0.00356627
68100,0.953226,0.00922056
68600,0.955632,0.0117678
69100,0.95941,0.0157679
69600,0.949864,0.00566075
70100,0.93449,0.0106162
70600,0.955689,0.0118278
71100,0.932696,0.0125155
71600,0.942748,0.00187262
72100,0.943088,0.00151352
72600,0.940208,0.00456209
73100,0.962372,0.0189034
73600,0.943549,0.0010249
74100,0.945842,0.00140243
74600,0.943803,0.000756071
75100,0.938555,0.00631234
75600,0.931447,0.0138374
76100,0.938231,0.00665562
76600,0.932868,0.0123333
77100,0.943968,0.000581763
77600,0.938762,0.0060928
78100,0.952172,0.00810427
78600,0.931767,0.0134996
79100,0.948615,0.00433851
79600,0.954992,0.0110904
80100,0.948545,0.00426492
80600,0.930117,0.0152466
81100,0.937809,0.00710276
81600,0.949457,0.00523012
82100,0.938109,0.00678446
82600,0.949733,0.00552181
83100,0.949985,0.00578888
83600,0.939419,0.00539784
84100,0.931984,0.0132693
84600,0.946931,0.00255608
85100,0.937484,0.00744684
85600,0.935415,0.00963702
86100,0.961261,0.017727
86600,0.939769,0.00502705
87100,0.95201,0.00793328
87600,0.932704,0.0125076
88100,0.941646,0.00304016
88600,0.945439,0.000976298
89100,0.932168,0.0130741
89600,0.94053,0.00422156
90100,0.940921,0.00380692
90600,0.936051,0.00896384
91100,0.949589,0.00536983
91600,0.948545,0.0042645
92100,0.945296,0.000824171
92600,0.948591,0.0043128
93100,0.943601,0.000970375
93600,0.94687,0.00249056
94100,0.953823,0.00985262
94600,0.936449,0.00854182
95100,0.935104,0.00996628
95600,0.950451,0.00628201
96100,0.939941,0.00484461
96600,0.937391,0.00754475
97100,0.946381,0.00197367
97600,0.934859,0.0102254
98100,0.935545,0.00949924
98600,0.943718,0.000846471
99100,0.944548,3.28184e-05
99600,0.953765,0.00979101
